Date,Open,High,Low,Close,Volume,Adj Close
2005-05-02,76.88,78.11,72.50,75.55,6896900,69.17
2005-04-01,91.49,91.76,71.85,76.38,10709200,69.75
2005-03-01,92.64,93.73,89.09,91.38,5025600,83.45
2005-02-01,93.67,94.97,91.55,92.58,4455600,84.54
2005-01-03,98.97,99.10,91.44,93.42,5960900,85.15
2004-12-01,94.50,99.00,94.47,98.58,5043800,89.85
2004-11-01,89.33,96.63,89.23,94.24,5754800,85.89
2004-10-01,85.95,90.27,84.29,89.75,5839700,81.64
2004-09-01,84.05,87.28,83.24,85.74,4719200,78.00
2004-08-02,86.87,87.39,81.90,84.69,4298600,77.04
2004-07-01,88.28,88.44,83.42,87.07,5929000,79.04
2004-06-01,88.00,91.21,87.30,88.15,4604400,80.02
2004-05-03,88.13,89.75,85.12,88.59,5395500,80.42
2004-04-01,91.67,94.55,88.01,88.17,5507200,79.87
2004-03-01,96.50,97.60,90.28,91.84,5612900,83.20
2004-02-02,99.15,100.43,95.20,96.50,5392400,87.42
2004-01-02,92.86,99.85,89.01,99.23,7275300,89.75
2003-12-01,90.90,94.12,90.03,92.68,5492200,83.82
2003-11-03,89.90,91.48,87.72,90.54,5271600,81.89
2003-10-01,88.75,94.54,87.53,89.48,6999200,80.78
2003-09-02,82.40,93.47,82.30,88.33,8523800,79.75
2003-08-01,81.15,84.72,78.73,82.01,5624600,74.04
2003-07-01,81.40,87.03,80.58,81.25,7362000,73.21
2003-06-02,89.00,89.08,79.81,82.50,9163700,74.33
2003-05-01,85.30,90.40,84.45,88.04,7415800,79.32
2003-04-01,78.50,86.49,78.12,84.90,8872300,76.36
2003-03-03,78.90,84.90,73.17,78.43,9624100,70.54
2003-02-03,78.20,80.05,74.31,77.95,8013500,70.11
2003-01-02,78.80,88.95,77.02,78.20,9698900,70.19
2002-12-02,88.60,89.46,75.60,77.50,7592100,69.57
2002-11-01,78.90,88.11,76.70,86.92,9370900,78.02
2002-10-01,59.20,79.79,54.01,78.94,12847400,70.73
2002-09-03,74.20,77.50,57.99,58.31,9934200,52.24
2002-08-01,70.40,82.85,65.85,75.38,7787400,67.54
2002-07-01,72.01,74.20,65.70,70.40,11771600,62.94
2002-06-03,80.75,80.95,66.10,72.00,10096300,64.37
2002-05-01,83.85,86.49,75.92,80.45,8084700,71.92
2002-04-01,104.00,104.00,83.34,83.76,11608500,74.73
2002-03-01,98.60,108.85,98.50,104.00,7830800,92.79
2002-02-01,107.64,109.30,95.76,98.12,9487300,87.55
2002-01-02,120.60,126.39,101.00,107.89,9687600,96.14
2001-12-03,114.80,124.70,113.21,120.96,6845300,107.78
2001-11-01,107.25,117.00,106.90,115.59,6701600,103.00
2001-10-01,91.72,112.10,91.34,108.07,10066400,96.18
2001-09-04,100.15,103.13,87.49,91.72,13359300,81.63
2001-08-01,105.35,110.09,98.86,99.95,6588100,88.95
2001-07-02,113.50,115.40,101.56,105.21,7934200,93.51
2001-06-01,112.50,119.00,111.10,113.50,7257400,100.88
2001-05-01,115.85,119.90,110.96,111.80,7549100,99.37
2001-04-02,97.45,118.05,90.05,115.14,11678400,102.21
2001-03-01,99.30,108.40,87.65,96.18,12000500,85.38
2001-02-01,112.40,118.64,99.10,99.90,8861600,88.68
2001-01-02,84.50,116.75,83.75,112.00,9870300,99.31
2000-12-01,94.44,104.75,80.06,85.00,8736700,75.37
2000-11-01,98.44,104.37,91.62,93.50,6717300,82.91
2000-10-02,112.62,119.62,86.94,98.50,10655100,87.23
2000-09-01,133.06,134.94,110.25,112.62,5853100,99.73
2000-08-01,112.00,134.25,110.25,132.02,5542000,116.91
2000-07-03,108.75,117.81,100.00,112.25,7762100,99.30
2000-06-01,107.56,122.31,105.50,109.56,6583100,96.92
2000-05-01,112.50,113.62,102.00,107.31,5797000,94.93
2000-04-03,120.00,128.00,101.25,111.50,9123800,98.51
2000-03-01,102.00,128.25,99.50,118.37,8797500,104.58
2000-02-01,112.37,119.75,100.94,102.75,7200400,90.78
2000-01-03,112.44,124.75,109.62,112.25,9073100,99.07
1999-12-01,102.56,122.12,102.25,107.87,7340700,95.21
